model_name,Model run time,nfolds,seed,keep_cross_validation_models,keep_cross_validation_predictions,keep_cross_validation_fold_assignment,fold_assignment,fold_column,ignored_columns,ignore_const_cols,score_each_iteration,offset_column,weights_column,family,tweedie_variance_power,tweedie_link_power,theta,solver,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_search,early_stopping,nlambdas,standardize,missing_values_handling,compute_p_values,remove_collinear_columns,intercept,non_negative,max_iterations,objective_epsilon,beta_epsilon,gradient_epsilon,link,prior,lambda_min_ratio,beta_constraints,max_active_predictors,interactions,interaction_pairs ,obj_reg,export_checkpoints_dir,balance_classes,class_sampling_factors,max_after_balance_size,max_confusion_matrix_size,max_hit_ratio_k,max_runtime_secs,custom_metric_func
GLM_grid_1_AutoML_20190410_190849_model_1,300,5,-1,FALSE,TRUE,FALSE,Modulo,,,,,,,,0,1,1.00E-10,L_BFGS,0,0.2,0.4,0.6,0.8,1,3419427.16,2488985.247,1811720.873,1318743.261,959907.1332,TRUE,TRUE,30,TRUE,MeanImputation,FALSE,FALSE,TRUE,FALSE,300,0.0001,0.0001,1.00E-06,identity,-1,0.0001,,-1,,,2.90E-06,,FALSE,,5,20,0,0,
GLM_grid_1_AutoML_20190419_184652_model_1,500,5,-3.73E+18,FALSE,TRUE,FALSE,Modulo,,,,,,,,0,1,1.00E-10,L_BFGS,0,0.2,0.4,0.6,0.8,1,3419427.16,2488985.247,1811720.873,1318743.261,959907.1332,TRUE,TRUE,30,TRUE,MeanImputation,FALSE,FALSE,TRUE,FALSE,300,0.0001,0.0001,1.00E-06,identity,-1,0.0001,,-1,,,2.90E-06,,FALSE,,5,20,0,0,
GLM_grid_1_AutoML_20190419_193618_model_1,1000,5,-6.84E+17,FALSE,TRUE,FALSE,Modulo,,,,,,,,0,1,1.00E-10,L_BFGS,0,0.2,0.4,0.6,0.8,1,3419427.16,2488985.247,1811720.873,1318743.261,959907.1332,TRUE,TRUE,30,TRUE,MeanImputation,FALSE,FALSE,TRUE,FALSE,300,0.0001,0.0001,1.00E-06,identity,-1,0.0001,,-1,,,2.90E-06,,FALSE,,5,20,0,0,
GLM_grid_1_AutoML_20190420_024805_model_1,1500,5,-6.30E+18,FALSE,TRUE,FALSE,Modulo,,,,,,,,0,1,1.00E-10,L_BFGS,0,0.2,0.4,0.6,0.8,1,3419427.16,2488985.247,1811720.873,1318743.261,959907.1332,TRUE,FALSE,30,TRUE,MeanImputation,FALSE,FALSE,TRUE,FALSE,300,0.0001,0.0001,1.00E-06,identity,-1,0.0001,,-1,,,2.90E-06,,FALSE,,5,20,0,0,
GLM_grid_1_AutoML_20190420_024805_model_1,2000,5,-6.30E+18,FALSE,TRUE,FALSE,Modulo,,,,,,,,0,1,1.00E-10,L_BFGS,0,0.2,0.4,0.6,0.8,1,3419427.16,2488985.247,1811720.873,1318743.261,959907.1332,TRUE,TRUE,30,TRUE,MeanImputation,FALSE,FALSE,TRUE,FALSE,300,0.0001,0.0001,1.00E-06,identity,-1,0.0001,,-1,,,2.90E-06,,FALSE,,5,20,0,0,
